job_title`,eachjob_welfare`,eachjob_company_detail`,eachjob_company_info`,job_link`
Python Engineer（上海） ` ,1.2-2.4万/月 ` ,"外资（非欧美）    		    			  |  500-1000人    		    		    			  |  计算机软件,互联网/电子商务 ` ","经验：1年以上学历：本科以上【工作职责】：1. 实现业务系统的后端服务，并和前端工程师紧密配合，确保系统按时上线并且功能完备;2. 参与业务需求分析和产品设计，在初期就围绕业务目标，发挥自己的创造力和生产力；3. 结合业务不断思考后端服务如何优化，如何拆分，如何提纯，让架构在思考和实践中不断进化；【岗位要求】：1. 有扎实的python基础，熟悉Python性能调优的技术；2. 熟悉Flask，Django，tornado, Sqlalchemy等常用框架和库；3. 熟悉常规关系型数据库及部分非关系型数据库；4. 熟悉各种后端服务，有折腾优化MySQL/mongo/redis/nginx的经验；5. 具有优良的代码习惯，重视代码质量，熟悉GitHub开发流程；6. 工作态度认真，踏实，耐压，有责任感。勤于思考，对产品有想法。有良好的团队合作精神和沟通能力；7. 2年以上互联网项目开发经验；8. 对于技术有强烈的执着和追求，有成为全栈的潜力，了解php/node.js/react，有自己的站点者优先；9. 熟悉HTML、CSS等前端知识者优先；地点：上海市闸北区恒丰路568号恒汇国际大厦12楼 ` ",http://jobs.51job.com/shanghai-zbq/84917244.html?s=01&t=0
Python开发工程师 ` ,1-2万/月 ` ,"创业公司    		    			  |  50-150人    		    		    			  |  计算机服务(系统、数据服务、维修),通信/电信运营、增值服务 ` ",？ 公司业务监控系统、运维工具等的架构和模块设计、编码、测试及上线交付工作；？ 负责公司基于主机及网络设备监控平台的二次开发？ 链路质量监控及测试功能开发？ 智能路由优化功能开发任职要求：？ 本科及以上，计算机、网络工程等相关专业？ 两年以上python开发经验，独立或者参与软件项目？ 热爱软件开发的编程发烧友，对新技术痴迷，勇于挑战自己不懂的领域？ 熟悉开源，做过全栈开发优先考虑？ 自主学习过除学校／工作以外的开发语言或者框架优先考虑 ` ,http://jobs.51job.com/shanghai-jaq/93209141.html?s=01&t=0
Python讲师(陆家嘴，2W） ` ,1-1.5万/月 ` ,"民营公司    		    			  |  150-500人    		    		    			  |  互联网/电子商务,教育/培训/院校 ` ","""技术顾问：岗位职责：1、参与线上Python课程体系的设计、生产、优化；2、负责线上Python课程分析项目、案例和讲解；3、负责线上Pyton课程日常学员的答疑及作业批改；4、负责完成领导安排的课程相关工作；任职要求：1、大专以上学历，24-30岁之间。2、计算机或者统计学相关专业3、2-3年Python相关工作经验4、主要从事Python爬虫,Python数据分析方向的工作；5、熟练掌握PythonWeb框架方向的工作 ;6、具有较强的学习能力及良好的人际交往和沟通能力;7，能够承受工作压力，具备独立解决问题的能力和优秀的团队合作精神;8、有相关讲师授课经验者优先考虑；9、有机器学习 , 深度学习人工智能经验者优先考虑 ;"" ` ",http://jobs.51job.com/shanghai/95801323.html?s=01&t=0
Python开发工程师 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  50-150人    		    		    			  |  计算机软件,互联网/电子商务 ` ","岗位职责：1、承担后端设计、研发工作；2、海量数据接收、处理、传输架构设计搭建、性能优化。岗位要求：1、2年以上后台开发经验，熟练运用Python编程语言；2、熟悉 Python、Pandas，了解 Django、Flask、Tornado 中至少一个；3、熟悉 Hadoop、Spark、Storm等大数据技术4、精通 MySQL、MongoDB、Redis 或其他数据库中至少一个；5、熟悉 TCP/IP,、HTTP等常用协议；6、了解如 HTML、CSS、JavaScript、jQuery等前端基本知识；7、熟悉Linux并使用其做主要开发环境者优先；8、学习能力强，代码习惯良好。 ` ",http://jobs.51job.com/shanghai-xhq/75623943.html?s=01&t=0
Python研发工程师 ` ,1.2-2.5万/月 ` ,"民营公司    		    			  |  500-1000人    		    		    			  |  金融/投资/证券,多元化业务集团公司 ` ",Python研发工程师岗位职责：1、负责 Web 后端相关的数据处理和服务开发，提供给前端设计和性能良好的 HTTP 接口2、负责网站和 App 服务端、Restful API 的开发3、负责后台系统开发，开发和维护编辑和管理数据系统4、维护线上环境，保证数据的完整和安全性5、开发常用工具，提高工程师的工作效率技术要求：1、 拥有丰富的 Python 使用经验，熟悉 Linux 工作环境，熟悉PHP相关开发框架2、了解JavaScript，CSS等前端技术，有前端开发经验，能进行全栈开发的优先3、 熟悉常用的数据存储系统和性能优化技巧，比如 MongoDB、MySQL、Redis4、 熟悉常用的版本控制软件，如SVN、GIT；平时使用 GIT，具有良好的编码风格和架构意识5、具备优秀的理解、沟通、学习能力，较强的自我驱动力6、对数据统计类产品有开发经验者优先，机器学习及数据挖掘经验者优先，有完整互联网产品开发经验优先同浩资本 ` ,http://jobs.51job.com/shanghai-pdxq/86930359.html?s=01&t=0
Python开发工程师 ` ,1-1.6万/月 ` ,"上市公司    		    			  |  5000-10000人    		    		    			  |  办公用品及设备,多元化业务集团公司 ` ",工作职责：1、与产品经理沟通和确认产品的需求和实现方法；2、负责后端API及运营后台的接口代码编写、维护；3、负责与测试人员的交互，处理测试人员的问题；4、后端代码测试、发布；5、服务器测试和生产环境搭建、维护，服务器性能优化；6、统计后台的开发、维护；7、及时处理线上的问题。任职要求：1、本科及以上学历，两年以上高并发系统的设计与调优经验；2、掌握Python开发语言，熟悉Git/Lnix等工具和工作环境；3、了解基本的前端，如HTML/CSS/Javascript；4、良好的自学能力，有移动电商经验的优先。 ` ,http://jobs.51job.com/shanghai-xhq/86250430.html?s=01&t=0
python工程师 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  少于50人    		    		    			  |  计算机软件,互联网/电子商务 ` ",岗位职责：1、后端实现，保障稳定性、性能。包括需求分析分解、设计、开发；2、与产品其他部分联动，使用规范的流程思维，定义接口设计并跟进完成；3、处理服务端开发中的常见问题。职位要求：技能1、具有良好的模块化思维能力及沟通能力；2、熟练使用 Python 及 Linux环境，Redis、MySQL数据，对于 Python开发中常用库了解深入，熟悉 Python Web Framework（django，Flask等）中的一种或多种，了解常见设计模式；3、熟悉敏捷开发 ( Scrum、XP )。4、有复杂应用的架构设计和研发经历的优先素质1、先有学习意识，才谈学习能力；2、对挑战性问题充满激情，享受日益强大的过程，拒绝死于安乐和平庸；3、负责任，用结果说话。4、坦诚开放，拥抱不足和变化。 ` ,http://jobs.51job.com/shanghai-hkq/94446148.html?s=01&t=0
python 开发工程师（偏web方向） ` ,1-1.5万/月 ` ,民营公司    		    			  |  少于50人    		    		    			  |  金融/投资/证券 ` ,"岗位职责：1、参与公司web项目的设计、研发、管理优化等工作；2、负责技术开发、运维等文档的编写。岗位要求：1、有两年以上python实际项目经验，熟悉Django、Flask、Web.py等python web框架任意一种，最好具有实际python web项目开发经验；2、熟悉SQLServer、Mysql等关系型数据库,会使用存储过程、视图、触发器等辅助进行项目开发，具备一定的数据库表设计能力；熟悉Redis；3、熟悉PHP,JavaScript、JQuery脚本语言中的任意一种；4、能够熟练的使用python进行web数据抓取，了解Scrapy、Beautiful Soup等爬虫框架。 ` ",http://jobs.51job.com/shanghai-pdxq/93548202.html?s=01&t=0
Java/Python开发工程师J10405 ` ,1-1.5万/月 ` ,"民营公司    		    			  |  1000-5000人    		    		    			  |  互联网/电子商务,计算机服务(系统、数据服务、维修) ` ","工作职责:1. 负责研发效率工具的开发、集成，包括但不限于：打包/发布系统,研发／项目管理等全流程工具2. 负责度量数据的自动化收集、展示，相关报表的收集、展示，工具的维护、开发任职资格:1. 具有3年以上研发管理工具开发经验，有良好的设计及编码能力，熟悉2门以上常见编程工具2. 熟练掌握至少一种Web框架，及相关前后端开发技术3. 有Web前端开发经验（JavaScript/CSS/HTML）者优先4. 熟悉Liunx操作系统，能够用shell解决常见问题5. 熟悉研发过程，有通过Jenkins实现持续集成经验优先6. 有DevOps工具经验优先 ` ",http://jobs.51job.com/shanghai-bsq/95590956.html?s=01&t=0
云平台python开发工程师（初级） ` ,10-20万/年 ` ,国企    		    			  |  1000-5000人    		    		    			  |  保险 ` ,岗位定义	参与中国太保云的规划、设计和建设全过程，推动云平台建设和持续演进主要工作职责（包含并不仅限于）1、	参与太保云计算平台的需求分析、产品设计和开发2、	参与太保云计算平台的日常运行和持续优化3、	参与云计算领域新技术发展趋势研究主要任职资格与条件1、	计算机或相关专业，本科以上学历；2、	1年以上python软件开发经验;3、	广泛的技术视野，具备很强的学习能力、分析能力和解决问题的能力；4、	如果对网络编程、分布式系统、数据库系统有一定深度理解更佳；5、	喜欢钻研技术，工作积极主动，不断追求产品的完善；6、	具备奉献精神，善于团队合作。 ` ,http://jobs.51job.com/shanghai-xhq/95545401.html?s=01&t=0
